Rank,Top Year Ids,"May, 2014","June, 2014","July, 2014","August, 2014",2014 Week: 25,2014 Week: 26,2014 Week: 27,2014 Week: 28,2014 Week: 29,2014 Week: 30,2014 Week: 31
167,661,801,118,33,687,91,166,33,29,482,624
168,39,540,125,270,316,566,363,657,338,72,264
169,545,34,556,692,449,255,403,619,327,686,394
170,520,28,546,266,84,714,601,301,178,335,483
171,130,384,239,12,727,569,585,681,25,45,5
172,335,305,162,151,559,640,110,686,228,93,51
173,1075,163,717,177,789,723,155,192,422,539,277
174,952,396,280,120,185,206,145,156,670,235,79
175,11,793,589,79,431,334,15,432,89,747,130
176,305,535,140,155,344,431,335,96,252,134,196
177,23,532,92,37,35,267,171,243,88,251,18
178,919,340,465,748,227,81,514,779,159,473,212
179,970,312,25,627,729,72,627,601,234,525,323
180,1053,794,53,438,760,76,344,268,16,778,766
181,965,159,77,566,722,135,670,196,99,587,599
182,493,13,709,186,386,706,44,371,226,581,738
183,871,121,433,447,262,420,205,425,273,611,268
184,931,409,543,158,273,371,148,155,388,542,517
185,276,4,763,656,305,649,731,715,190,680,351
186,601,743,84,31,702,464,7,373,108,674,772
187,242,292,178,623,65,557,291,639,538,439,194
188,1117,740,510,282,782,52,230,711,147,757,108
189,208,366,540,125,666,621,151,113,517,340,515
190,657,534,395,680,246,238,655,671,170,607,433
191,381,288,668,38,684,793,3,572,195,727,713
192,116,149,186,390,355,722,146,570,80,586,336
193,109,110,166,755,137,114,760,538,540,425,611
194,132,135,76,738,282,284,249,774,442,456,465
195,785,175,62,302,267,41,387,135,614,348,205
196,461,61,223,695,310,211,478,654,374,667,113
197,1076,172,117,744,92,385,720,441,741,481,524
198,417,239,649,483,247,368,275,464,528,490,62
199,58,197,120,242,86,45,637,430,132,258,43
