Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
106,TVTODAY,3.57143,128,1.89449,286,-0.185322,140,9.99164,433,-9.81343,492,1.79458,410,1.64063,7,18.1481,183,5.10753,791,-14.1967,342,17.7734,373,39.3013
107,BLUESTARCO,3.56644,428,-2.20414,490,-3.31628,346,5.72664,252,-5.86885,265,5.74254,492,0.399592,137,3.36766,365,-2.08688,555,6.45279,179,28.2381,145,85.8801
108,SUNTV,3.50618,270,-0.514707,735,-8.68743,564,2.09902,247,-5.81852,339,4.38509,245,4.62,216,1.25604,482,-6.09109,444,10.4573,498,10.4947,632,9.65211
109,BEML,3.46709,469,-2.6672,767,-10.8861,181,8.89184,576,-13.0824,734,-2.8875,347,2.6972,96,4.72786,762,-21.1875,193,20.6881,14,67.0761,28,174.065
110,VARDHACRLC,3.46666,250,-0.265258,492,-3.33333,760,-2.7569,643,-14.6341,295,5.29954,772,-6.60793,171,2.37466,648,-12.2402,269,16.4384,436,13.522,589,14.7929
111,HEG,3.27963,389,-1.82606,284,-0.170459,294,6.58634,611,-13.9175,352,4.1167,345,2.73871,221,1.14575,550,-8.49073,157,23.7609,626,3.06655,430,33.1932
112,JBFIND,3.17343,367,-1.62866,499,-3.39161,254,7.48273,75,-0.188395,331,4.58532,194,5.84525,113,4.01786,150,7.08036,446,10.389,140,32.3737,202,68.4337
113,SUVEN,3.09013,36,6.85373,451,-2.7027,274,7.06628,288,-6.43248,72,14.1667,661,-2.39796,101,4.57118,50,20.2988,337,13.9248,722,-3.98877,207,66.3435
114,MOTHERSUMI,3.08494,90,3.29622,713,-7.76661,292,6.60725,212,-4.98652,60,15.3281,443,1.09351,217,1.23115,97,12.0166,526,7.58129,351,17.149,111,98.4273
115,JPINFRATEC,3.06748,331,-1.21581,772,-11.4667,7,31.794,600,-13.7879,691,-1.64179,326,3.02547,98,4.6729,402,-3.38236,665,1.96672,143,32.3232,337,43.8972
116,NAVNETEDUL,3.01696,515,-3.17073,183,1.83599,354,5.52268,300,-6.72728,416,3.07017,722,-3.59537,272,0.183367,293,0.499378,606,4.48344,216,25.5195,389,38.1956
117,BEL,2.99839,461,-2.58611,453,-2.79459,441,4.11086,768,-19.3614,247,6.18018,284,3.88281,175,2.26857,734,-17.9967,78,32.7901,135,32.7937,178,73.7488
118,JINDALSTEL,2.939,672,-5.80043,570,-4.38893,333,6.05358,603,-13.8308,525,1.1838,490,0.43887,198,1.84026,701,-15.041,515,7.84018,380,15.9688,660,5.20913
119,BERGEPAINT,2.8701,335,-1.24958,214,1.14497,532,2.68798,149,-3.50848,410,3.2031,291,3.68613,95,4.76924,213,3.96605,250,17.4899,631,2.6971,409,35.5974
120,NIITTECH,2.84908,131,1.81199,545,-3.97772,800,-19.2937,32,3.01192,318,4.82798,426,1.40187,191,1.90413,710,-15.3371,395,12.2041,706,-2.56411,650,6.88547
121,ADHUNIK,2.82167,639,-5.10639,680,-6.89655,410,4.55508,327,-7.40384,569,0.575822,365,2.39044,180,2.13005,671,-13.4357,681,0.959693,265,21.9003,486,26.5278
122,TECHM,2.75352,454,-2.50469,160,2.38476,472,3.50244,172,-4.07357,641,-0.545245,199,5.75622,52,7.28676,306,0.0279115,420,11.4304,601,5.08197,565,18.626
123,TAJGVK,2.74612,185,0.765306,459,-2.86703,529,2.72634,130,-2.80281,91,12.9767,281,3.97591,340,-0.849998,193,4.71258,255,17.0524,252,22.7648,295,50.7985
124,BAJAJ-AUTO,2.74334,368,-1.63002,226,0.842456,755,-2.4696,340,-7.62121,604,0.0696315,187,5.92202,174,2.30735,604,-10.3264,225,18.9045,647,1.51175,621,10.7911
